DAAS;Algeria;Ain Arnat Airport;36.178100585900005;5.3244900703399995;1;U
DAFI;Algeria;Tsletsi Airport;34.6657;3.351;1;U
DAOY;Algeria;El Bayadh Airport;33.721666666699996;1.0925;1;N
NSTU;American Samoa;Pago Pago International Airport;-14.3310003281;-170.710006714;-11;U
NSFQ;American Samoa;Fitiuta Airport;-14.2172;-169.425003;-11;U
FNBC;Angola;Mbanza Congo Airport;-6.269899845123291;14.246999740600586;1;N
FNBG;Angola;Benguela Airport;-12.609000206;13.4036998749;1;N
FNCA;Angola;Cabinda Airport;-5.59699010848999;12.188400268554688;1;N
FNHU;Angola;Nova Lisboa Airport;-12.808899879455566;15.760499954223633;1;N
FNKU;Angola;Kuito Airport;-12.404600143433;16.947399139404;1;N
FNLB;Angola;Lobito Airport;-12.371199607849121;13.536600112915039;1;N
FNLU;Angola;Quatro de Fevereiro Airport;-8.85837;13.2312;1;N
FNMA;Angola;Malanje Airport;-9.525090217590332;16.312400817871094;1;N
FNME;Angola;Menongue Airport;-14.657600402832031;17.71980094909668;1;N
FNNG;Angola;Negage Airport;-7.754509925842285;15.287699699401855;1;N
FNPA;Angola;Porto Amboim Airport;-10.722000122070312;13.76550006866455;1;N
FNSA;Angola;Saurimo Airport;-9.689069747924805;20.431900024414062;1;N
FNSO;Angola;Soyo Airport;-6.141089916229248;12.371800422668457;1;N
FNUB;Angola;Lubango Airport;-14.924699783325195;13.574999809265137;1;N
FNUE;Angola;Luena Airport;-11.768099784851074;19.8976993560791;1;N
FNUG;Angola;Uige Airport;-7.60306978225708;15.027799606323242;1;N
FNXA;Angola;Xangongo Airport;-16.755399703979492;14.965299606323242;1;N
FNCT;Angola;Catumbela Airport;-12.4792;13.4869;1;N
FNDU;Angola;Dundo Airport;-7.400889873504639;20.818500518798828;1;N
FNGI;Angola;Ngjiva Pereira Airport;-17.0435009003;15.683799743700002;1;N
FNMO;Angola;Namibe Airport;-15.261199951171875;12.14680004119873;1;N
FNZG;Angola;Nzagi Airport;-7.716939926149999;21.358200073200003;1;U
FNLK;Angola;Lucapa Airport;-8.445727348330001;20.7320861816;1;U
FNCP;Angola;Capanda Airport;-9.76937007904;15.4553194046;1;U
FNSU;Angola;Sumbe Airport;-11.167900085449219;13.84749984741211;\N;\N
TQPF;Anguilla;Clayton J Lloyd International Airport;18.2048;-63.055099;-4;U
NZSP;Antarctica;South Pole Station Airport;-90;0;12;U
NZWD;Antarctica;Williams Field;-77.86740112304688;167.0570068359375;12;N
SAWB;Antarctica;Marambio Base;-64.2382965088;-56.6307983398;12;U
SCRM;Antarctica;Teniente Rodolfo Marsh Martin Base;-62.1907997131;-58.9866981506;12;U
YWKS;Antarctica;Wilkins Runway;-66.690833;111.523611;12;U
NZIR;Antarctica;McMurdo Station Ice Runway;-77.85399627685547;166.468994140625;12;N
NZPG;Antarctica;McMurdo Station Pegasus Field;-77.9634017944336;166.52499389648438;12;Z
TAPA;Antigua and Barbuda;V.C. Bird International Airport;17.1367;-61.792702;-4;U
TAPH;Antigua and Barbuda;Codrington Airport;17.635799;-61.828602;-4;U
SAAC;Argentina;Comodoro Pierrestegui Airport;-31.2969;-57.9966;-3;N
SAAG;Argentina;Gualeguaychu Airport;-33.0103;-58.6131;-3;N
SAAJ;Argentina;Junin Airport;-34.5459;-60.9306;-3;N
SAAP;Argentina;General Urquiza Airport;-31.7948;-60.4804;-3;N
SAAR;Argentina;Islas Malvinas Airport;-32.9036;-60.785;-3;N
SAAV;Argentina;Sauce Viejo Airport;-31.7117;-60.8117;-3;N
SABE;Argentina;Jorge Newbery Airpark;-34.5592;-58.4156;-3;N
SACO;Argentina;Ingeniero Ambrosio Taravella Airport;-31.323601;-64.208;-3;N
SACT;Argentina;Chamical Airport;-30.34530067;-66.29360198;-3;N
SADF;Argentina;San Fernando Airport;-34.4532;-58.5896;-3;N
SADJ;Argentina;Mariano Moreno Airport;-34.5606;-58.7896;-3;N
SADL;Argentina;La Plata Airport;-34.9722;-57.8947;-3;N
SADM;Argentina;Moron Airport;-34.6763;-58.6428;-3;N
SADP;Argentina;El Palomar Airport;-34.6099;-58.6126;-3;N
SAHC;Argentina;Chos Malal Airport;-37.444698333699996;-70.2225036621;-3;N
SAHR;Argentina;Dr. Arturo H. Illia Airport;-39.0007019043;-67.6204986572;-3;N
SAME;Argentina;El Plumerillo Airport;-32.8316993713;-68.7929000854;-3;N
SAMM;Argentina;Comodoro D.R. Salomón Airport;-35.493598938;-69.5743026733;-3;N
SAMR;Argentina;Suboficial Ay Santiago Germano Airport;-34.588299;-68.4039;-3;N
SANC;Argentina;Catamarca Airport;-28.5956001282;-65.751701355;-3;N
SANE;Argentina;Vicecomodoro Angel D. La Paz Aragonés Airport;-27.765556335399996;-64.3099975586;-3;N
SANI;Argentina;Tinogasta Airport;-28.0377998352;-67.5802993774;-3;N
SANL;Argentina;Capitan V A Almonacid Airport;-29.3815994263;-66.7957992554;-3;N
SANO;Argentina;Chilecito Airport;-29.2238998413;-67.4389038086;-3;N
SANT;Argentina;Teniente Benjamin Matienzo Airport;-26.8409;-65.104897;-3;N
SANU;Argentina;Domingo Faustino Sarmiento Airport;-31.571501;-68.418198;-3;N
SAOC;Argentina;Area De Material Airport;-33.0850982666;-64.2612991333;-3;N
SAOD;Argentina;Villa Dolores Airport;-31.9451999664;-65.1463012695;-3;N
SAOL;Argentina;La Quiaca Airport;-22.1506004333;-65.57749938959999;-3;N
